DATE,TNWBSHNO
2013-04-01,74199.84
2013-07-01,76647.74
2013-10-01,79383.46
2014-01-01,80622.67
2014-04-01,82218.32
2014-07-01,82512.80
2014-10-01,84200.59
2015-01-01,86019.48
2015-04-01,86500.00
2015-07-01,85069.35
2015-10-01,87249.54
2016-01-01,88086.94
